production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
110000000.0,486124090.0,2005.0,2.35,126.0,22722.0,120000000.0,6.5
110000000.0,469590832.0,2015.0,2.35,114.0,16718.0,110000000.0,6.1
110000000.0,563749323.0,2011.0,1.78,103.0,692.0,110000000.0,5.5
110000000.0,382288147.0,2007.0,2.35,129.0,13961.0,110000000.0,7.2
110000000.0,362989076.0,2004.0,2.35,125.0,19359.0,110000000.0,6.4
110000000.0,339504276.0,1997.0,2.35,119.0,2958.0,110000000.0,6.5
110000000.0,215300000.0,2000.0,2.35,142.0,19454.0,110000000.0,7.1
110000000.0,330780051.0,2014.0,2.35,102.0,10583.0,110000000.0,6.2
110000000.0,208370892.0,2004.0,2.35,170.0,34582.0,110000000.0,7.5
110000000.0,229155503.0,2011.0,2.35,119.0,13391.0,120000000.0,5.8
110000000.0,263880341.0,2011.0,2.35,127.0,22254.0,110000000.0,7.1
110000000.0,348547523.0,2013.0,1.85,105.0,914.0,105000000.0,5.4
110000000.0,152364370.0,2009.0,2.35,106.0,19906.0,100000000.0,6.4
110000000.0,89737191.0,2013.0,2.35,114.0,12908.0,110000000.0,6.7
110000000.0,76482461.0,2004.0,1.78,76.0,13607.0,110000000.0,5.4
110000000.0,150468000.0,1997.0,2.35,121.0,2027.0,160000000.0,3.7
109000000.0,887217688.0,2001.0,2.35,171.0,22342.0,93000000.0,8.8
109000000.0,133818283.0,2003.0,1.85,82.0,2762.0,109000000.0,3.8
109000000.0,87683966.0,2001.0,2.35,165.0,14196.0,107000000.0,6.8
108000000.0,640055863.0,2015.0,2.35,151.0,14831.0,108000000.0,8.1
105000000.0,348629585.0,2004.0,2.35,115.0,12068.0,120000000.0,7.1
105000000.0,298815224.0,1999.0,1.85,84.0,3382.0,133000000.0,5.9
105000000.0,270997378.0,2009.0,1.85,97.0,2480.0,105000000.0,7.1
105000000.0,10364769.0,2001.0,1.85,104.0,3133.0,90000000.0,4.4
103300000.0,232643008.0,2000.0,2.35,127.0,29069.0,90000000.0,6.5
